Fruity Types,Sensory Group
Citrus fruit,Fruity
Lemon,Fruity
Grapefruit,Fruity
Orange,Fruity
Lime,Fruity
Berry,Fruity
Strawberry,Fruity
Raspberry,Fruity
Blackberry,Fruity
Dried Fruit,Fruity
Raisin,Fruity
Prune,Fruity
Other Fruit,Fruity
Apple,Fruity
Pear,Fruity
Peach,Fruity
Grape,Fruity
Cherry,Fruity
Pomegranate,Fruity
Coconut,Fruity
Pineapple,Fruity
Other,Fruity
Not Sure,Fruity
Black tea,Floral
Jasmine,Floral
Rose,Floral
Chamomile,Floral
Other,Floral
Not Sure,Floral
Peanuts,Nutty
Almond,Nutty
Hazelnut,Nutty
Other,Nutty
Not Sure,Nutty
Grain,Cereal
Malt,Cereal
Other,Cereal
Not Sure,Cereal
Cocoa,Cocoa
Chocolate,Cocoa
Dark Chocolate,Cocoa
Other,Cocoa
Not Sure,Cocoa
Sweet,Sweet
Molasses,Sweet
Maple Syrup,Sweet
Brown Sugar,Sweet
Caramelized,Sweet
Honey,Sweet
Vanilla,Sweet
Other,Sweet
Not Sure,Sweet
Musty/Earthy,Earthy
Meaty/Brothy,Earthy
Animalic,Earthy
Moldy/Damp,Earthy
Smoky,Earthy
Phenolic,Earthy
Other,Earthy
Not Sure,Earthy
Acrid,Roasted
"Brown, roast",Roasted
Burnt,Roasted
Ashy,Roasted
Tobacco,Roasted
Pipe Tobacco,Roasted
Other,Roasted
Not Sure,Roasted
Brown spice,Spices
Pepper,Spices
Nutmeg,Spices
Clove,Spices
Cinnamon,Spices
Anise,Spices
Other,Spices
Not Sure,Spices
Hay-like,Vegetative
Herb-like,Vegetative
Beany,Vegetative
Under-ripe,Vegetative
Green,Vegetative
Dark Green,Vegetative
Peapod,Vegetative
Olive Oil,Vegetative
Raw,Vegetative
Fresh,Vegetative
Other,Vegetative
Not Sure,Vegetative
Stale,State & Papery
Woody,State & Papery
Cardboard,State & Papery
Papery,State & Papery
Other,State & Papery
Not Sure,State & Papery
Bitter,Chemical
Medicinal,Chemical
Petroleum,Chemical
Skunky,Chemical
Rubber,Chemical
Salty,Chemical
Other,Chemical
Not Sure,Chemical
Fermented,Alcohol & Fermented
Overripe/Near Fermented,Alcohol & Fermented
Winey,Alcohol & Fermented
Whiskey,Alcohol & Fermented
Other,Alcohol & Fermented
Not Sure,Alcohol & Fermented
Fruity,
Floral,
Nutty,
Cereal,
Cocoa,
Sweet,
Earthy,
Roasted,
Spices,
Vegetative,
Stale/Papery,
Chemical,
Alcohol/Fermented,
None,
Not Applicable,
